กรมสุขภาพจิต กระทรวงสาธารณสุข,,,,,,,,,,,,,
ลำดับที่,ปี พ.ศ.,0-9 ปี,10-19 ปี,20-29 ปี,30-39 ปี,40-49 ปี,50-59 ปี,60-69 ปี,70-79 ปี,80 ปีขึ้นไป,ไม่ทราบ,รวม,Graph
  ,2540,0,616,"1,312","1,007",578,329,207,79,20,35,"4,183",
  ,2541,4,726,"1,586","1,190",662,402,270,97,26,1,"4,964",
  ,2542,1,709,"1,669","1,201",760,432,331,138,32,17,"5,290",
  ,2543,0,579,"1,608","1,275",801,440,298,137,42,9,"5,189",
  ,2544,2,472,"1,454","1,187",773,387,322,156,47,3,"4,803",
  ,2545,3,490,"1,379","1,118",828,481,359,189,55,3,"4,905",
  ,2546,6,362,"1,099","1,152",797,474,366,169,59,2,"4,486",
  ,2547,3,323,"1,021","1,114",772,498,314,198,53,0,"4,296",
  ,2548,4,295,930,"1,001",737,458,288,183,41,4,"3,941",
  ,2549,1,233,799,917,715,455,272,174,42,4,"3,612",
  ,2550,2,249,831,934,743,466,298,179,52,2,"3,756",
  ,2551,3,225,808,935,771,496,307,179,54,0,"3,778",
  ,2552,2,254,728,906,793,523,335,178,68,0,"3,787",
  ,2553,3,265,770,885,756,508,298,207,69,0,"3,761",
  ,2554,2,239,749,950,767,604,311,190,61,0,"3,873",
  ,2555,0,256,717,941,827,576,362,220,86,0,"3,985",
  ,2556,5,231,648,938,862,594,352,220,90,0,"3,940",
  ,2557,0,162,591,894,824,702,443,237,97,0,"3,950",
  ,2558,0,153,570,929,939,748,470,272,124,0,"4,205",
  ,2559,1,193,617,930,861,760,447,231,91,0,"4,131",
  ,2560,1,139,575,835,858,725,474,221,106,0,"3,934",
  ,2561,0,131,645,887,844,715,511,282,122,0,"4,137",
